official name,display name,Whatifsports name,flair,conference,conference division,year,record,initial ranking points,head coach,punter,kick returner,punt returner
Clemson,Clemson,Clemson,[](#f/clemson),ACC,,2018,15-0,19.049,Dabo Swinney,Will Spiers,Derion Kendrick,Amari Rodgers
Alabama,Alabama,Alabama,[](#f/alabama),SEC,,2020,13-0,18.539,Nick Saban,Charlie Scott,Jahleel Billingsley,DeVonta Smith
Miami (FL),Miami (FL),Miami (FL),[](#f/miami),ACC,,2001,12-0,18.278,Larry Coker,Freddie Capshaw,Andre Johnson,Philip Buchanon
Georgia,Georgia,Georgia,[](#f/georgia),SEC,,2022,15-0,17.978,Kirby Smart,Brett Thorson,Kearis Jackson,Ladd McConkey
Texas,Texas,Texas,[](#f/texas),SEC,,2005,13-0,17.841,Mack Brown,Richmond McGee,Ramonce Taylor,Aaron Ross
Louisiana State,LSU,LSU,[](#f/lsu),SEC,,2019,15-0,17.278,Ed Orgeron,Zach Von Rosenberg,Clyde Edwards-Helaire,Derek Stingley Jr.
Florida State,Florida State,Florida State,[](#f/floridastate),ACC,,2013,14-0,17.011,Jimbo Fisher,Carson Beatty,Kermit Whitfield,Kenny Shaw
Michigan,Michigan,Michigan,[](#f/michigan),Big Ten,,2023,15-0,16.991,Jim Harbaugh,Tommy Doman,Semaj Morgan,Jake Thaw
Southern California,USC,USC,[](#f/usc),Big Ten,,2004,13-0,16.706,Pete Carroll,Tom Malone,Reggie Bush,Reggie Bush
Florida,Florida,Florida,[](#f/florida),SEC,,2008,13-1,16.673,Urban Meyer,Chas Henry,Brandon James,Brandon James
Oklahoma,Oklahoma,Oklahoma,[](#f/oklahoma),SEC,,2000,13-0,16.313,Bob Stoops,Jeff Ferguson,JT Thatcher, JT Thatcher
Ohio State,Ohio State,Ohio State,[](#f/ohiostate),Big Ten,,2019,13-1,16.199,Urban Meyer,Drue Chrisman,Demario McCall,Garrett Wilson
Nebraska,Nebraska,Nebraska,[](#f/nebraska),Big Ten,,1997,13-0,16.152,Tom Osborne,Jesse Kosch,Joe Walker,Shevin Wiggins
Oklahoma State,Oklahoma State,Oklahoma State,[](#f/oklahomastate),Big 12,,2011,12-1,15.654,Mike Gundy,Justin Gilbert,Josh Cooper
Auburn,Auburn,Auburn,[](#f/auburn),SEC,,2010,14-0,15.616,Gene Chizik,Ryan Shoemaker,Demond Washington,Quindarius Carr
Tennessee,Tennessee,Tennessee,[](#f/tennessee),SEC,,1998,13-0,14.85,Phillip Fulmer,David Leaverton,Peerless Price,Eric Parker
Louisville,Louisville,Louisville,[](#f/louisville),ACC,,2006,12-1,14.606,Bobby Petrino,Cory Goettsche,Jajuan Spillman,Patrick Carter
Oregon,Oregon,Oregon,[](#f/oregon),Big Ten,,2014,13-2,13.67,Mark Helfrich,Ian Wheeler,Charles Nelson,Charles Nelson
Notre Dame,Notre Dame,Notre Dame,[](#f/notredame),Independent,,2018,12-1,13.349,Brian Kelly,Tyler Newsome,Michael Young,Chris Finke
Wisconsin,Wisconsin,Wisconsin,[](#f/wisconsin),Big Ten,,2017,13-1,13.123,Paul Chryst,Anthony Lotti,Derrick Tindal,Nick Nelson
Arizona State,Arizona State,Arizona State,[](#f/arizonastate),Big 12,,1996,11-1,13.056,Bruce Snyder,Lance Anderson,Terry Battle,JR Redmond
Texas Christian,TCU,TCU,[](#f/tcu),Big 12,,2010,13-0,12.997,Gary Patterson,Anson Kelton,Jeremy Kerley,Jeremy Kerley
Stanford,Stanford,Stanford,[](#f/stanford),ACC,,2010,12-1,12.964,Jim Harbaugh,Daniel Zychlinski,Chris Owusu,Drew Terrell
Penn State,Penn State,Penn State,[](#f/pennstate),Big Ten,,2005,11-1,12.923,Joe Paterno,Jeremy Kapinos,Derrick Williams,Calvin Lowry
Washington,Washington,Washington,[](#f/washington),Big Ten,,2023,14-1,12.887,Kalen DeBoer,Jack McCallister,Daniyel Ngata,Denzel Boston
Central Florida,UCF,UCF,[](#f/ucf),Big 12,,2017,13-0,12.873,Scott Frost,Mac Loudermilk,Mike Hughes,Mike Hughes
Utah,Utah,Utah,[](#f/utah),Big 12,,2008,13-0,12.861,Kyle Whittingham,Louie Sakoda,David Reed,Brent Casteel
West Virginia,West Virginia,West Virginia,[](#f/westvirginia),Big 12,,2007,11-2,12.634,Rich Rodriguez,Pat McAfee,Noel Devine,Vaughn Rivers
Boise State,Boise State,Boise State,[](#f/boisestate),MWC,,2009,14-0,12.6,Chris Petersen,Kyle Brotzman,Titus Young,Kyle Wilson
Michigan State,Michigan State,Michigan State,[](#f/michiganstate),Big Ten,,2013,13-1,12.437,Mark Dantonio,Mike Sadler,RJ Shelton,Macgarrett Kings Jr.
Cincinnati,Cincinnati,Cincinnati,[](#f/cincinnati),Big 12,,2009,12-1,12.387,Brian Kelly,Jacob Rogers,Mardy Gilyard,Mardy Gilyard
Virginia Tech,Virginia Tech,Virginia Tech,[](#f/virginiatech),ACC,,2000,11-1,12.343,Frank Beamer,Robert Peaslee,Andre Kendrick,Andre Davis
Kansas State,Kansas State,Kansas State,[](#f/kansasstate),Big 12,,1997,11-1,11.941,Bill Snyder,James Garcia,Gerald Neasman,David Allen
Missouri,Missouri,Missouri,[](#f/missouri),SEC,,2007,12-2,11.559,Gary Pinkel,Adam Crossett,Jeremy Maclin,Jeremy Maclin
Oregon State,Oregon State,Oregon State,[](#f/oregonstate),Pac-12,,2000,11-1,11.517,Dennis Erickson,Mike Fessler,Ricky Walker,TJ Houshmandzadeh
Texas A&M,Texas A&M,Texas A&M,[](#f/texasam),SEC,,2012,11-2,11.5,Kevin Sumlin,Ryan Epperson,Trey Williams,Dustin Harris
Baylor,Baylor,Baylor,[](#f/baylor),Big 12,,2013,11-2,11.311,Art Briles,Spencer Roth,Corey Coleman,Levi Norwood
South Carolina,South Carolina,South Carolina,[](#f/southcarolina),SEC,,2013,11-2,11.209,Steve Spurrier,Tyler Hull,Pharoh Cooper,Pharoh Cooper
UCLA,UCLA,UCLA,[](#f/ucla),Big Ten,,1998,10-2,10.935,Bob Toledo,Chris Sailer,Ryan Roques,Ryan Roques
Kansas,Kansas,Kansas,[](#f/kansas),Big 12,,2007,12-1,10.933,Mark Mangino,Kyle Tucker,Marcus Herford,Anthony Webb
Ball State,Ball State,Ball State,[](#f/ballstate),MAC,,2020,7-1,10.932,Mike Neu,Nathan Snyder,Justin Hall,Justin Hall
Miami (OH),Miami (OH),Miami (OH),[](#f/miamioh),MAC,,2003,13-1,10.673,Terry Hoeppner,Michael Wafzig,Darrell Hunter,Ryne Robinson
Iowa,Iowa,Iowa,[](#f/iowa),Big Ten,,2009,11-2,10.586,Kirk Ferentz,Ryan Donahue,Derrell Johnson-Koulianos,Colin Sandeman
Arizona,Arizona,Arizona,[](#f/arizona),Big 12,,1998,12-1,10.525,Dick Tomey,Ryan Springston,Dennis Northcutt,Dennis Northcutt
Marshall,Marshall,Marshall,[](#f/marshall),Sun Belt,East,1999,13-0,10.495,Bob Pruett,Curtis Head,James Williams,Lanier Washington
Arkansas,Arkansas,Arkansas,[](#f/arkansas),SEC,,2011,11-2,10.402,Bobby Petrino,Dylan Breeding,Dennis Johnson,Joe Adams
Houston,Houston,Houston,[](#f/houston),Big 12,,2015,13-1,10.389,Tom Herman,Logan Piper,Brandon Wilson,Demarcus Ayers
North Carolina,North Carolina,North Carolina,[](#f/northcarolina),ACC,,1997,11-1,10.24,Mack Brown,Brian Schmitz,Antwon Black,Dre Bly
Georgia Tech,Georgia Tech,Georgia Tech,[](#f/georgiatech),ACC,,2014,11-3,10.049,Paul Johnson,Ryan Rodwell,Jamal Golden,Jamal Golden
Coastal Carolina,Coastal Carolina,Coastal Carolina,[](#f/coastalcarolina),Sun Belt,East,2020,11-1,10.04,Jamey Chadwell,Charles Ouverson,Shermari Jones,Jaivon Heiligh
Texas Tech,Texas Tech,Texas Tech,[](#f/texastech),Big 12,,2008,11-2,9.967,Mike Leach,Jonathan Lacour,Jamar Wall,Eric Morris
Brigham Young,BYU,Brigham Young,[](#f/byu),Big 12,,1996,14-1,9.949,LaVell Edwards,Alan Boardman,James Dye,James Dye
Mississippi,Ole Miss,Ole Miss,[](#f/olemiss),SEC,,2023,11-2,9.862,Lane Kiffin,Fraser Masin,Ulysses Bentley IV,Jordan Watkins
Colorado,Colorado,Colorado,[](#f/colorado),Big 12,,1996,10-2,9.83,Rick Neuheisel,Nick Pietsch,Marcus Stiggers,Ryan Nunez
Rutgers,Rutgers,Rutgers,[](#f/rutgers),Big Ten,,2006,11-2,9.718,Greg Schiano,Joe Radigan,Willie Foster,Willie Foster
Buffalo,Buffalo,Buffalo,[](#f/buffalo),MAC,,2020,6-1,9.618,Lance Leipold,Evan Finegan,Ron Cook Jr.,Ron Cook Jr.
Louisiana,Louisiana,Louisiana-Lafayette,[](#f/louisiana),Sun Belt,West,2020,10-1,9.191,Billy Napier,Rhys Byrns,Chris Smith,Eric Garror
Appalachian State,Appalachian State,Appalachian State,[](#f/appalachianstate),Sun Belt,East,2019,13-1,9.185,Eli Drinkwitz,Xavier Subotsch,Darrynton Evans,Thomas Hennigan
California,California,California,[](#f/california),ACC,,2004,10-2,9.112,Jeff Tedford,David Lonie,Marshawn Lynch,Tim Mixon
Washington State,Washington State,Washington State,[](#f/washingtonstate),Pac-12,,2018,11-2,9.071,Mike Leach,Oscar Draguicevich,Travell Harris,Kyle Sweet
Iowa State,Iowa State,Iowa State,[](#f/iowastate),Big 12,,2020,9-3,9.01,Matt Campbell,Joe Rivera,Kene Nwangwu,Greg Eisworth
Nevada,Nevada,Nevada,[](#f/nevada),MWC,,2010,13-1,8.928,Chris Ault,Brad Langley,Mike Ball,Rishard Matthews
Air Force,Air Force,Air Force,[](#f/airforce),MWC,,1998,12-1,8.77,Fisher DeBerry,Jason Kirkland,Matt Farmer,Matt Farmer
Tulane,Tulane,Tulane,[](#f/tulane),American,,2022,12-2,8.4,Willie Fritz,Casey Glover,Lawrence Keys III,Jha'Quan Jackson
Pittsburgh,Pittsburgh,Pittsburgh,[](#f/pittsburgh),ACC,,2021,11-3,8.371,Pat Narduzzi,Kirk Christodoulou,Israel Abanikanda,Jordan Addison
Western Michigan,Western Michigan,Western Michigan,[](#f/westernmichigan),MAC,,2016,13-1,8.181,PJ Fleck,James Coleman,Darius Phillips,Darius Phillips
Boston College,Boston College,Boston College,[](#f/bostoncollege),ACC,,2006,10-3,8.105,Tom O'Brien,Johnny Ayers,Jeff Smith,Dejuan Tribble
Liberty,Liberty,Liberty,[](#f/liberty),C-USA,,2023,13-1,8.025,Jamey Chadwell,Max Morgan,Aaron Bedgood,Brylan Green
Maryland,Maryland,Maryland,[](#f/maryland),Big Ten,,2002,11-3,7.969,Ralph Friedgen,Brooks Barnard,Steve Suter,Steve Suter
Syracuse,Syracuse,Syracuse,[](#f/syracuse),ACC,,1996,9-3,7.952,Paul Pasqualoni,Sean Reali,Jim Turner,Deon Maddox
Minnesota,Minnesota,Minnesota,[](#f/minnesota),Big Ten,,2019,11-2,7.945,PJ Fleck,Jacob Herbers,Demetrius Douglas,Demetrius Douglas
Utah State,Utah State,Utah State,[](#f/utahstate),MWC,,2012,11-2,7.94,Gary Andersen,Tyler Bennett,Chuck Jacobs,Cameron Webb
Memphis,Memphis,Memphis,[](#f/memphis),American,,2019,12-2,7.933,Mike Norvell,Adam Williams,Antonio Gibson,Traveon Samuel
Illinois,Illinois,Illinois,[](#f/illinois),Big Ten,,2001,10-2,7.916,Ron Turner,Steve Fitts,Eugene Wilson,Eugene Wilson
San Jose State,San Jose State,San Jose State,[](#f/sanjosestate),MWC,,2020,7-1,7.826,Brent Brennan,Elijah Fischer,Shamar Garrett,Kenyon Reed
Western Kentucky,Western Kentucky,Western Kentucky,[](#f/wku),C-USA,,2015,12-2,7.797,Jeff Brohm,Jake Collins,Kylen Towner,Kylen Towner
Southern Mississippi,Southern Miss,Southern Miss,[](#f/southernmiss),Sun Belt,West,2011,12-2,7.701,Larry Fedora,Peter Boehme,Tracy Lampley,Tracy Lampley
North Carolina State,NC State,North Carolina State,[](#f/ncstate),ACC,,2002,11-3,7.354,Chuck Amato,Austin Herbert,Lamont Reid,Jerricho Cotchery
Toledo,Toledo,Toledo,[](#f/toledo),MAC,,2000,10-1,7.312,Gary Pinkel,Brandon Hannum,Tony Miller,Brandon Hefflin
Fresno State,Fresno State,Fresno State,[](#f/fresnostate),MWC,,2018,12-2,7.202,Jeff Tedford,Blake Cusick,Jamire Jordan,Ronnie Rivers
Navy,Navy,Navy,[](#f/navy),American,,2015,11-2,7.195,Ken Niumatalolo,Alex Barta,Dishan Romine,Debrandon Sanders
Hawaii,Hawaii,Hawaii,[](#f/hawaii),MWC,,2007,12-1,7.13,June Jones,Tim Grasso,Malcolm Lane,Davone Bess
Kentucky,Kentucky,Kentucky,[](#f/kentucky),SEC,,2018,10-3,7.071,Mark Stoops,Max Duffy,Lynn Bowden Jr.,Lynn Bowden Jr.
Wake Forest,Wake Forest,Wake Forest,[](#f/wakeforest),ACC,,2006,11-3,7.015,Jim Grobe,Sam Swank,Kevin Marion, Willie Idlette
Mississippi State,Mississippi State,Mississippi State,[](#f/mississippistate),SEC,,2014,10-3,6.972,Dan Mullen,Devon Bell,Robert Johnson,Jamoral Graham
San Diego State,San Diego State,San Diego State,[](#f/sandiegostate),MWC,,2021,12-2,6.923,Brady Hoke,Matt Araiza,Jordan Byrd,Jordan Byrd
Troy,Troy,Troy,[](#f/troy),Sun Belt,West,2022,12-2,6.817,Jon Sumrall,Mike Rivers,Jabre Barber,Tez Johnson
Northwestern,Northwestern,Northwestern,[](#f/northwestern),Big Ten,,2017,10-3,6.652,Pat Fitzgerald,Hunter Niswander,Riley Lees,Riley Lees
Northern Illinois,Northern Illinois,Northern Illinois,[](#f/northernillinois),MAC,,2012,12-2,6.346,Dave Doeren,Ryan Neir,Tommylee Lewis,AJ Sebastiano
Colorado State,Colorado State,Colorado State,[](#f/coloradostate),MWC,,1997,11-2,6.338,Sonny Lubick,Preston Loos,Darran Hall,Geoff Turner
South Florida,South Florida,South Florida,[](#f/usf),American,,2007,9-4,6.092,Jim Leavitt,Delbert Alvarado,Jerome Murphy,Marcus Edwards
Army,Army,Army,[](#f/army),American,,2018,11-2,6.088,Jeff Monken,Nick Schrage,Sandon McCoy,Mike Reynolds
James Madison,James Madison,James Madison,[](#f/jamesmadison),Sun Belt,East,2023,11-2,6.08,Curt Cignetti,Ryan Hanson,DJ Barksdale,Josh Sarratt
Purdue,Purdue,Purdue,[](#f/purdue),Big Ten,,1998,9-4,6.061,Joe Tiller,Danny Rogers,Cliff Jackson, DaShann Austin
Virginia,Virginia,Virginia,[](#f/virginia),ACC,,1998,9-3,6.037,George Welsh,Donnie Scott,Antwoine Womack,Terrence Wilkins
Florida Atlantic,FAU,Florida Atlantic,[](#f/fau),American,,2017,11-3,5.967,Lane Kiffin,Ryan Rickel,Kerrith Whyte,Jalen Young
Central Michigan,Central Michigan,Central Michigan,[](#f/centralmichigan),MAC,,2009,12-2,5.925,Butch Jones,Brett Hartmann,Antonio Brown,Antonio Brown
Bowling Green State,Bowling Green,Bowling Green,[](#f/bowlinggreen),MAC,,2003,11-3,5.558,Gregg Brandon,Nate Fry,Cole Magner,Charles Sharon
Indiana,Indiana,Indiana,[](#f/indiana),Big Ten,,2020,6-2,5.555,Tom Allen,Haydon Whitehead,Jacolby Hewitt,Reese Taylor
Texas-San Antonio,UTSA,UTSA,[](#f/utsa),American,,2021,12-2,5.367,Jeff Traylor,Lucas Dean,Dadrian Taylor,Sheldon Jones
Arkansas State,Arkansas State,Arkansas State,[](#f/arkansasstate),Sun Belt,West,2012,10-3,5.02,Gus Malzahn,Neely Sullivent,Rocky Hayes,Rocky Hayes
Southern Methodist,SMU,SMU,[](#f/smu),ACC,,2023,11-3,4.743,Rhett Lashlee,Ryan Bujcevski,Roderick Daniels Jr.,Roderick Daniels Jr.
Tulsa,Tulsa,Tulsa,[](#f/tulsa),American,,2008,11-3,4.603,Todd Graham,Michael Such,Damaris Johnson,Trae Johnson
East Carolina,East Carolina,East Carolina,[](#f/ecu),American,,1996,8-3,4.285,Steve Logan,Andrew Bayes,Perez Mattison,Jason Nichols
Wyoming,Wyoming,Wyoming,[](#f/wyoming),MWC,,1996,10-2,4.129,Joe Tiller,Aron Langley,Marques Brigham,Marcus Harris
Duke,Duke,Duke,[](#f/duke),ACC,,2013,10-4,4.087,David Cutcliffe,Will Monday,Devon Edwards,Jamison Crowder
Vanderbilt,Vanderbilt,Vanderbilt,[](#f/vanderbilt),SEC,,2012,9-4,3.914,James Franklin,Richard Kent,Brian Kimbrow,Jonathan Krause
Connecticut,UConn,Connecticut,[](#f/connecticut),Independent,,2007,9-4,3.684,Randy Edsall,Desi Cullen,Tyvon Branch,Larry Taylor
Kent State,Kent State,Kent State,[](#f/kentstate),MAC,,2012,11-3,3.642,Darrell Hazell,Anthony Melchiori,Dri Archer,Eric Adeyemi
Louisiana Tech,Louisiana Tech,Louisiana Tech,[](#f/louisianatech),C-USA,,2012,9-3,3.598,Sonny Dykes,Ryan Allen,DJ Banks,DJ Banks
Georgia Southern,Georgia Southern,Georgia Southern,[](#f/georgiasouthern),Sun Belt,East,2018,10-3,3.556,Chad Lunsford,Magill Bauerle,Wesley Kennedy III,Wesley Kennedy III
Rice,Rice,Rice,[](#f/rice),American,,2008,10-3,3.442,David Bailiff,Kyle Martens,Ja'Corey Shepherd,James Casey
Temple,Temple,Temple,[](#f/temple),American,,2016,10-4,3.119,Matt Rhule,Alex Starzyk,Isaiah Wright,Jahad Thomas
Alabama-Birmingham,UAB,UAB,[](#f/uab),American,,2018,11-3,2.945,Bill Clark,Kyle Greenwell,Andre Wilson,Andre Wilson
North Texas,North Texas,North Texas,[](#f/northtexas),American,,2013,9-4,2.496,Dan McCarney,Blake Macek,Brelan Chancellor,Brelan Chancellor
Ohio,Ohio,Ohio,[](#f/ohio),MAC,,2017,9-4,1.943,Frank Solich,Michael Farkas,Dorian Brown,Kylan Nelson
South Alabama,South Alabama,South Alabama,[](#f/southalabama),Sun Belt,West,2022,10-3,1.932,Kane Wommack,Jack Brooks,Braylon McReynolds,Caullin Lacy
Middle Tennessee State,Middle Tennessee,Middle Tennessee,[](#f/middletennessee),C-USA,,2001,8-3,1.8,Andy McCollum,Robert Billings,Kerry Wright,Hansford Johnson
Texas-El Paso,UTEP,UTEP,[](#f/utep),C-USA,,2004,8-4,1.623,Mike Price,Bryce Benekos,Howard Jackson,Jahmal Fenner
Old Dominion,Old Dominion,Old Dominion,[](#f/olddominion),Sun Belt,East,2016,10-3,1.108,Bobby Wilder,Bailey Cate,Kesean Strong,Darrell Brown
Jacksonville State,Jacksonville State,Jacksonville State,[](#f/jacksonvillestate),C-USA,,2023,9-4,0.526,Rich Rodriguez,Jack Dawson,Michael Pettway,Sterling Galban
New Mexico,New Mexico,New Mexico,[](#f/newmexico),MWC,,2007,9-4,0.155,Rocky Long,Jordan Scott,Marcus Smith,Ian Clark
New Mexico State,New Mexico State,New Mexico State,[](#f/newmexicostate),C-USA,,2023,10-5,-0.041,Jerry Kill,Zach Haynes,Reggie Akles,Jonathan Brady
Nevada-Las Vegas,UNLV,UNLV,[](#f/unlv),MWC,,2000,8-5,-0.361,John Robinson,Ray Cheetany,Troy Mason,Troy Mason
Georgia State,Georgia State,Georgia State,[](#f/georgiastate),Sun Belt,East,2020,6-4,-0.637,Shawn Elliott,Michael Hayes,Quavian White,Quavian White
Florida International,FIU,Florida International,[](#f/fiu),C-USA,,2018,9-4,-0.894,Butch Davis,Stone Wilson,Austin Maloney,Maurice Alexander
Louisiana-Monroe,ULM,Louisiana-Monroe,[](#f/ulm),Sun Belt,West,2012,8-5,-1.685,Todd Berry,Justin Manton,Cortney Davis,Brent Leonard
Eastern Michigan,Eastern Michigan,Eastern Michigan,[](#f/easternmichigan),MAC,,2022,9-4,-1.811,Chris Creighton,Mitchell Tomasek,Jaylon Jackson,Hassan Beydoun
Akron,Akron,Akron,[](#f/akron),MAC,,1999,7-4,-2.35,Lee Owens,Jon Eaton,Jimmie Gray,Brandon Payne
Texas State,Texas State,Texas State,[](#f/texasstate),Sun Belt,West,2023,8-5,-2.791,GJ Kinne,Seamus O'Kelly,Ismail Mahdi,Kole Wilson
Charlotte,Charlotte,Charlotte,[](#f/charlotte),American,,2019,7-6,-4.297,Will Healy,Connor Bowler,Micaleous Elder,Nafees Lyon
Massachusetts,Massachusetts,Massachusetts,[](#f/umass),Independent,,2017,4-8,-9.198,Mark Whipple,Logan Laurent,Jessie Britt,Isaiah Rodgers
Sam Houston,Sam Houston,Sam Houston,[](#f/samhoustonstate),C-USA,,2023,3-9,-12.107,KC Keeler,Jadon Cardell,Malik Phillips,Emon Allen
Kennesaw State,Kennesaw State,Kennesaw State,[](#f/kennesawstate),C-USA,,2023,3-6,-20,Brian Bohannon,,,
Delaware State,Delaware State,Delaware State,,FCS,,2023,,,,,,
Montana State,Montana State,Montana State,,FCS,,2023,,,,,,
Sacramento State,Sacramento State,Sacramento State,,FCS,,2023,,,,,,
Howard,Howard,Howard,,FCS,,2023,,,,,,
North Carolina A&T,North Carolina A&T,North Carolina A&T,,FCS,,2023,,,,,,
New Hampshire,New Hampshire,New Hampshire,,FCS,,2023,,,,,,
Western Carolina,Western Carolina,Western Carolina,,FCS,,2023,,,,,,
Jackson State,Jackson State,Jackson State,,FCS,,2023,,,,,,
Lafayette,Lafayette,Lafayette,,FCS,,2023,,,,,,
Fordham,Fordham,Fordham,,FCS,,2023,,,,,,
Central Connecticut,CCSU,Central Connecticut,,FCS,,2023,,,,,,
Arkansas-Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,,FCS,,2023,,,,,,
Duequense,Duquesne,Duquesne,,FCS,,2023,,,,,,
Murray State,Murray State,Murray State,,FCS,,2023,,,,,,
North Dakota State,North Dakota State,North Dakota State,,FCS,,2023,,,,,,
Lindenwood,Lindenwood,Lindenwood,,FCS,,2023,,,,,,
Alcorn State,Alcorn State,Alcorn State,,FCS,,2023,,,,,,
SE Louisiana,SE Louisiana,SE Louisiana,,FCS,,2023,,,,,,
Northwestern State,Northwestern State,Northwestern State,,FCS,,2023,,,,,,
Southern Utah,Southern Utah,Southern Utah,,FCS,,2023,,,,,,
Eastern Illinois,Eastern Illinois,Eastern Illinois,,FCS,,2023,,,,,,
Lehigh,Lehigh,Lehigh,,FCS,,2023,,,,,,
Elon,Elon,Elon,,FCS,,2023,,,,,,
Texas A&M-Commerce,Texas A&M-Commerce,Texas A&M-Commerce,,FCS,,2023,,,,,,
Robert Morris,Robert Morris,Robert Morris,,FCS,,2023,,,,,,
Illinois State,Illinois State,Illinois State,,FCS,,2023,,,,,,
Austin Peay,Austin Peay,Austin Peay,,FCS,,2023,,,,,,
Indiana State,Indiana State,Indiana State,,FCS,,2023,,,,,,
Bucknell,Bucknell,Bucknell,,FCS,,2023,,,,,,
Chattanooga,Chattanooga,Chattanooga,,FCS,,2023,,,,,,
South Dakota State,South Dakota State,South Dakota State,,FCS,,2023,,,,,,
Towson,Towson,Towson,,FCS,,2023,,,,,,
Portland State,Portland State,Portland State,,FCS,,2023,,,,,,
East Tennessee State,East Tennessee State,East Tennessee State,,FCS,,2023,,,,,,
North Dakota,North Dakota,North Dakota,,FCS,,2023,,,,,,
Merrimack,Merrimack,Merrimack,,FCS,,2023,,,,,,
Western Illinois,Western Illinois,Western Illinois,,FCS,,2023,,,,,,
Stony Brook,Stony Brook,Stony Brook,,FCS,,2023,,,,,,
UC Davis,UC Davis,UC Davis,,FCS,,2023,,,,,,
Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,,FCS,,2023,,,,,,
Campbell,Campbell,Campbell,,FCS,,2023,,,,,,
Richmond,Richmond,Richmond,,FCS,,2023,,,,,,
Norfolk State,Norfolk State,Norfolk State,,FCS,,2023,,,,,,
Idaho State,Idaho State,Idaho State,,FCS,,2023,,,,,,
Furman,Furman,Furman,,FCS,,2023,,,,,,
Central Arkansas,Central Arkansas,Central Arkansas,,FCS,,2023,,,,,,
Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,,FCS,,2023,,,,,,
Tarleton State,Tarleton State,Tarleton State,,FCS,,2023,,,,,,
UT Martin,UT Martin,UT Martin,,FCS,,2023,,,,,,
Tennessee Tech,Tennessee Tech,Tennessee Tech,,FCS,,2023,,,,,,
North Alabama,North Alabama,North Alabama,,FCS,,2023,,,,,,
Alabama A&M,Alabama A&M,Alabama A&M,,FCS,,2023,,,,,,
Idaho,Idaho,Idaho,,FCS,,2023,,,,,,
Abilene Christian,Abilene Christian,Abilene Christian,,FCS,,2023,,,,,,
Southern Illinois,Southern Illinois,Southern Illinois,,FCS,,2023,,,,,,
Houston Christian,Houston Christian,Houston Christian,,FCS,,2023,,,,,,
Grambling, Grambling, Grambling,,FCS,,2023,,,,,,
Nicholls,Nicholls,Nicholls,,FCS,,2023,,,,,,
Lamar,Lamar,Lamar,,FCS,,2023,,,,,,
Southeast Missouri State,Southeast Missouri State,Southeast Missouri State,,FCS,,2023,,,,,,
Weber State,Weber State,Weber State,,FCS,,2023,,,,,,
Utah Tech,Utah Tech,Utah Tech,,FCS,,2023,,,,,,
Northern Colorado,Northern Colorado,Northern Colorado,,FCS,,2023,,,,,,
Rhode Island,Rhode Island,Rhode Island,,FCS,,2023,,,,,,
McNeese,McNeese,McNeese,,FCS,,2023,,,,,,
Missouri State,Missouri State,Missouri State,,FCS,,2023,,,,,,
St. Francis (PA),St. Francis (PA),St. Francis (PA),,FCS,,2023,,,,,,
South Dakota,South Dakota,South Dakota,,FCS,,2023,,,,,,
Duquesne,Duquesne,Duquesne,,FCS,,2023,,,,,,
UAlbany,UAlbany,UAlbany,,FCS,,2023,,,,,,
Florida A&M,Florida A&M,Florida A&M,,FCS,,2023,,,,,,
Gardner-Webb,Gardner-Webb,Gardner-Webb,,FCS,,2023,,,,,,
Samford,Samford,Samford,,FCS,,2023,,,,,,
William & Mary,William & Mary,William & Mary,,FCS,,2023,,,,,,
Cal Poly,Cal Poly,Cal Poly,,FCS,,2023,,,,,,
Texas Southern,Texas Southern,Texas Southern,,FCS,,2023,,,,,,
Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,,FCS,,2023,,,,,,
Long Island University,Long Island University,Long Island University,,FCS,,2023,,,,,,
Northern Arizona,Northern Arizona,Northern Arizona,,FCS,,2023,,,,,,
Prairie View A&M,Prairie View A&M,Prairie View A&M,,FCS,,2023,,,,,,
VMI,VMI,VMI,,FCS,,2023,,,,,,
Morgan State,Morgan State,Morgan State,,FCS,,2023,,,,,,
North Carolina Central,North Carolina Central,North Carolina Central,,FCS,,2023,,,,,,
South Carolina State,South Carolina State,South Carolina State,,FCS,,2023,,,,,,
Colgate,Colgate,Colgate,,FCS,,2023,,,,,,
Northern Iowa,Northern Iowa,Northern Iowa,,FCS,,2023,,,,,,
Villanova,Villanova,Villanova,,FCS,,2023,,,,,,
Eastern Washington,Eastern Washington,Eastern Washington,,FCS,,2023,,,,,,
Youngstown State,Youngstown State,Youngstown State,,FCS,,2023,,,,,,
Monmouth,Monmouth,Monmouth,,FCS,,2023,,,,,,
Holy Cross,Holy Cross,Holy Cross,,FCS,,2023,,,,,,
Wagner,Wagner,Wagner,,FCS,,2023,,,,,,
Maine,Maine,Maine,,FCS,,2023,,,,,,
Mercer,Mercer,Mercer,,FCS,,2023,,,,,,
The Citadel,The Citadel,The Citadel,,FCS,,2023,,,,,,
Charleston Southern,Charleston Southern,Charleston Southern,,FCS,,2023,,,,,,
Wofford,Wofford,Wofford,,FCS,,2023,,,,,,
